author,comment,published_at
@yasmindaazzalfa3029,Praz mangarti bahasa banjar pinax,2025-05-02T10:14:37Z
@daniimpact4797,Lgi ngumpulin org kyknya nih channel,2025-05-02T10:09:02Z
@ratnamayasary6807,Males,2025-05-02T10:08:14Z
@aunulhadi1696,Sudah bingung kah buat cari bintang tamu yg bisa naikin penonton ?,2025-05-02T10:01:34Z
@bon-normantv566,kalimantan timur cantik bgt,2025-05-02T09:51:15Z
@AR7_AR7,Praz ni katuju barang ganal🤣,2025-05-02T09:45:41Z
@rendyr8891,Akayah raminya bahasa Kalimantan nih di dadngar😂Salam darai Banjarmasin,2025-05-02T09:44:27Z
@ketutpastika7666,Ajg idola gua 😂,2025-05-02T09:42:45Z
@noaddedsugar_,"kepada penonton baru, podcast goyang lidah ini bukan tempat anda mencari obrolan berbobot.. tonton aja podcast lain kalo gak suka. ga usah ribet banyak bacot.. wkwkwk ini podcast fun² aja, mau serius² ini bukan tempatnya",2025-05-02T09:32:52Z
@DuniaAsap,Ending yang sangat mengakak kan 😅,2025-05-02T09:14:55Z
@HelmiHapitHazim,Bnyk bgt kosong nya,2025-05-02T09:13:41Z
@ManzSkuyy-30,FBYANA CANTIK BANGET BODY NYA SEXY,2025-05-02T09:03:13Z
@NurulLaila-s4i,wahhh kacau prass😂,2025-05-02T08:54:53Z
@guntaraatiih9265,"gw curiga sama konten ini, smoga cuman pikiran gw aja",2025-05-02T08:52:47Z
@rudyronal5959,Ebel Cobra dan FByana  lu pada janjinya apa gimana bajunya atasan putih bawahnya celana jeans sama lagi couple apa gimana nih 😂😂😂😂,2025-05-02T08:34:02Z
@annisasaffanah3160,cari bintang tamu yg kya biasanya ajalahh. konten kaya gini menarik viewers tapi ga berbobot isinya kaya kehabisan ide🙃,2025-05-02T08:26:02Z
@SurtiniSurtini-ed4pl,Aku cewek yah sama seperti fbyana kok aku ngerasa aku yang berat yah tu nanggung beratnya buah dadanya terlalu gede 🤕 itu asli atau bikinan yah?,2025-05-02T08:25:45Z
@chanelgajelas8387,Bang ebell 😂😂 ngakak gua,2025-05-02T08:11:28Z
@ridhikkhidir1787,"Kocak pada focus kemana podcast ny ..,pikiran mulai buray😅😂",2025-05-02T08:11:13Z
@Sipur-it4se,WIIIIHHHHH 50% komennya JUDOL,2025-05-02T08:00:10Z
@ridhikkhidir1787,Ebel pikiran NY nagetif langsung tingking tuc ...,2025-05-02T07:56:19Z
@teturuuuid82,Semoga file rare para komika aman,2025-05-02T07:53:46Z
@warungipit1309,a,2025-05-02T07:52:22Z
@Bintang-o5x,Jinje..,2025-05-02T07:47:49Z
@ocytnosrednah4871,Versi Prime dari Siskaeee,2025-05-02T07:44:12Z
@ocytnosrednah4871,"Undang Muhammad Khan, pemain film, kemarin nonton di Sayap-sayap Patah mirip Praz Teguh",2025-05-02T07:43:45Z
@saintraiyan9622,"intrupsi Bang @prasteguh ..., alamak Bang @ebelcobra, intruktur olahraga atuh bukan intruktur",2025-05-02T07:42:43Z
@wahidramadhan9451,Harus nya sama Monica ardea nih kombinasi yg pecah poll 😂😂,2025-05-02T07:42:08Z
@pemudaakhirbulan29,Ebel malah rabies 😂😂😂😂,2025-05-02T07:39:51Z
@17.muhamadrafli12,aga kasian liatnya tapi yaudalah ya,2025-05-02T07:26:08Z
@androidgb8675,Sek sering2 bintang tamu gini bang pras. Biar awet nom 😂,2025-05-02T07:26:02Z
@ayugustin938,selalu mengkilat wkwkw,2025-05-02T07:21:50Z
@Laura-nbc,Hiburan pemersatu bangsa,2025-05-02T07:16:57Z
@rizkychadikofc4726,Tanggung susu nya,2025-05-02T07:06:21Z
@llime-vorz,Ini yang paling² lucu sih anjirrrr😂😂😂,2025-05-02T06:57:41Z
@tombeatboxindonesia,abis ini undang monica ardhea sih,2025-05-02T06:50:44Z
@GuntingKuku-p3q,"Akhirnya kak fbyana cantik sekali, mau cari kemenangan besar ya hanya di 138VEGAS dan 123FULL",2025-05-02T06:50:41Z
@pujihanifah6422,rami nya eh pakai bahasa banjar tamu & host nya,2025-05-02T06:34:53Z
@agushidayat4013,gak except jail nya sekaranng bang prazz di akhir wkwk ebel lucu terosss!,2025-05-02T06:24:16Z
@NayMoto19,wow idola gw nih @fbyana,2025-05-02T06:19:00Z
@rizkanfachrudiansah165,Dilecehkan gitu seneng,2025-05-02T06:14:35Z
@bocahtengil7408,ngobrol gk jls karna hostx keliatan sangek,2025-05-02T06:12:14Z
@sunardi8211,Kali ini skip 👎,2025-05-02T06:08:44Z
@mandanyashira6309,Gak ada bintang tamu lain kah?,2025-05-02T06:08:16Z
@cabuts,ya,2025-05-02T06:07:17Z
@azizalfarizi5175,bang undang aloy bang,2025-05-02T06:04:51Z
@maafremsayablong,"Wih gede banget, jumlah subscriber nya",2025-05-02T05:58:46Z
@Sriyanti-1911,episode terbosen😊😊,2025-05-02T05:51:16Z
@chanelabang5395,nursah namanyaitu,2025-05-02T05:51:05Z
@hendriharahap6172,Dia siapa si?,2025-05-02T05:51:03Z
@kirtaramgodara,[̲̅P][̲̅U][̲̅L][̲̅A][̲̅U][̲̅7][̲̅7][̲̅7] tampil dengan desain modern,2025-05-02T05:50:00Z
@Rockyv00340j,Jadilah pemenang berikutnya di 🅿️🆄🅻🅰️🆄777!,2025-05-02T05:46:42Z
@icebear4556,Fbyana palsu semua!!!! Sangat tidak natural! Terlalu di paksain 🤢,2025-05-02T05:46:16Z
@annisafadilah8975,"Kok dia mirip Felicia Angelista, istrinya Caesar Hito ya...😅",2025-05-02T05:45:20Z
@kimytatya3597,Pd baper. Lucu2 aj si 😂 praz sebelum bicara pasti tanya bintang tamu dulu deh. Boleh tanya ini itu. Lagian febyana dibayar untuk seperti itu. Liar buat lucu2an aj. Terlepas de apapun kontennya.,2025-05-02T05:43:16Z
@izaradani7223,05:10 sattt wkwkk 😂😂😂,2025-05-02T05:40:32Z
@zainalfreefire8619,njir mantep😆😆,2025-05-02T05:32:35Z
@ahmadsidik247,Ini yg suka live tik tok jualan scentplus kan..,2025-05-02T05:31:42Z
@Hakiki2983,weiii gw berisik bgt ngakak di kantor nonton ini 🤣🤣🤣,2025-05-02T05:25:43Z
@adibniam5428,Fbyana ktwanya nular dan orangnya asik😂,2025-05-02T05:20:04Z
@inggit-SGT,"Pisces, sama dong
Pisces tu banyak yang menyukai, buat lawan nya penasaran, memang pisces suka buat penasaran lawan main, susah di tebak, suka dan pandai buat tebar pesona",2025-05-02T05:18:20Z
@Zib1t,"han uma pian ni heh, nyama banar ditonton episode ini hahaa",2025-05-02T05:17:02Z
@adibniam5428,Gw fens febiayana😅,2025-05-02T05:09:11Z
@Semuatontonan,"Bang bahas tentang liquid jenis dan perbedaan warnanya, contoh kaya liquid saltnic cenderung kuning apa itu karna flavor nya atau karna apa ? Soalnya skrng bnyak liquid yg malah cenderung berwarna kuning pekat.. gak kaya dlu bening-bening..
Aku dlu vapor bgt tapi smenjak adanya saltnic liat warnanya kuning pekat jdi was-was.. :(",2025-05-02T05:06:26Z
@generasipenerus4679,"05:33 Termasuk sopan pkai kta ""Maaf"" dlu",2025-05-02T04:57:26Z
@piobchannel1561,Cantik2 memang cantik..tpi caranya over control ..ebel n prazz berusaha professional..big respect...jemputan kali ni gediikkkk...eeeewuuu,2025-05-02T04:54:33Z
@julianadam4767,Sebagai urang Kalimantan melihat urang Kalimantan lain bepandir kaya ini rasa kayapa kah leh,2025-05-02T04:53:24Z
@pubmonkey92,"""Kalo smackdown Debra ""  pecah sihh wkwkwkw",2025-05-02T04:45:20Z
@ACHMADMUSTAIN-i2u,"Kalau dia pakai hijab paling cantik yah  , subhanallah cantik banget fbyana",2025-05-02T04:45:17Z
@audrayjr5694,Panas ya bang pras🔥🔥🥵🥵,2025-05-02T04:43:01Z
@aljerooomm5874,Njirrrrrr😂😂,2025-05-02T04:38:18Z
