video_id,author,comment,published_at
WznY5JDmgkY,@corbuzier,Gue potong pembicaraan nya... Dia ngamuk... Pick me bgt... 🤪,2025-04-26T02:35:14Z
WznY5JDmgkY,@Dzikra123-n5y,Kak diva undang dong om,2025-05-02T10:25:38Z
WznY5JDmgkY,@icmbemm1111,Undang SURYA INSOMIA dong,2025-05-02T10:01:29Z
WznY5JDmgkY,@ash-o8b9f,33:11 jgn gt ah vid ngomongnya😔,2025-05-02T09:40:22Z
WznY5JDmgkY,@yosefhinsiahaan2800,owner kantor gue jg tlp sambil jalan sama kaya vidi wkwk,2025-05-02T09:06:13Z
WznY5JDmgkY,@rina.indriona,01:02:14 adegan paling ngakak 😂😂 sumpah ya Allah segitu cintanya Vidi sama istrinya 🤣🤣,2025-05-02T08:40:09Z
WznY5JDmgkY,@justordinarymom300,Sumpah kocak abis natural ini episode sampe gw ngakak bolak balik sendirian 😂  Bikin intens dong 😅,2025-05-02T08:27:59Z
WznY5JDmgkY,@arfanpratama4453,"Semoga kumpul semua itu vidi-diva-vadi. Pasti kebayang dah serunya keluarga mereka kalau kumpul bersama🎉🎉🎉🎉
Gas..gas..gas...↗️",2025-05-02T08:14:20Z
WznY5JDmgkY,@gadogadochannel3392,om ded..undang inces syahrini doong...pasti seru bangett,2025-05-02T07:52:31Z
WznY5JDmgkY,@Harupat70,"Mohon maaf saya hanya ingin turut meringankan beberapa tetangga saya yg sedang bangkit dari kesulitan ekonomi, barangkali ada yg berniat untuk membantu dapat memberikan donasinya melalui rek BRI Purwakarta no  3734-01-001687-50-2
Disalurkan untuk membeli bibit  pohon , tanah sudah tersedia untuk digarap, bibit pohon belum ada, atas bantuannya diucapkan terima kasih.n",2025-05-02T07:34:31Z
WznY5JDmgkY,@ronifardhansanjaya,ajak vidi sekeluarga om ded,2025-05-02T06:24:40Z
WznY5JDmgkY,@AininaDheota,Yuk lagi yukk part 2 boleh yuk,2025-05-02T05:16:57Z
WznY5JDmgkY,@BianAnarraa,Undang Divaa!!!🎉🎉,2025-05-02T05:09:49Z
WznY5JDmgkY,@akustikjawaterbaru,GAGAL FOKUS SAMA JAM TANGAN MEREKA BAGUS GANTENG  BANGET,2025-05-02T04:16:34Z
WznY5JDmgkY,@jovinaditya,Cocok adiknya si Vadi ktimbang Vidi,2025-05-02T03:41:42Z
WznY5JDmgkY,@AltoTransLegacy,Mantap,2025-05-02T03:32:42Z
WznY5JDmgkY,@parkzartworks3148,Terima kasih selalu menghibur acara podhubnya🙏🙏🙏,2025-05-02T02:20:35Z
WznY5JDmgkY,@veravonita1984,"Vidi, Vadi, habib zafar donk🥺",2025-05-02T02:09:05Z
WznY5JDmgkY,@CerpenRv,"Gilak eps ini udah rewatch gtau dah brapa kali  , seru bgttt vidi vadii yu bisa yu long eps 😂♥️😭🫶🏻",2025-05-01T21:35:15Z
WznY5JDmgkY,@aldiladp,"Seruuuu, parah pecah banget 2 eps ini ga berhenti ketawaaaa. Tapi iya sih vadi adhi gong bgttt kerennn. Udah follow kak adhi lamaaa, keren reels2nya kreatif bgtt lucu2 bareng kak sasha! 😍",2025-05-01T21:04:50Z
WznY5JDmgkY,@khadijahbalqisassegafxllmm9262,vidi❤,2025-05-01T20:27:13Z
WznY5JDmgkY,@andimuflihah,Vadieee again plisss,2025-05-01T17:56:39Z
WznY5JDmgkY,@usrndro5585,Secara tidak sadar ternyata akhiran nama mereka DI  semua 😱😱😱😱,2025-05-01T17:48:34Z
WznY5JDmgkY,@farraandriyani6044,Next episode : vidi diva vadi wkkwkw,2025-05-01T17:21:35Z
WznY5JDmgkY,@emfadhil2195,"Ya Allah adiiii, ada aja lagi pake kepikiran tompel dipindah 😂😂😂😂",2025-05-01T17:18:39Z
WznY5JDmgkY,@NasyaPutri-qc1be,Bisa gk ya podhub seminggu 3 kali,2025-05-01T16:42:46Z
WznY5JDmgkY,@jihanfithriya,Pls undang podcast keluarga artis 😭,2025-05-01T16:38:36Z
WznY5JDmgkY,@dreamkris4249,Seseru tu tau 🤣🤣🤣🤣👀,2025-05-01T16:34:10Z
WznY5JDmgkY,@nurjannah6376,"Vidi keliatan pucat banget 😢, kok asumsi gw vadi kaya disiapin buat ganti Vidi klo seandainya nanti kesehatan vidi ga baik, suudzon gw aja sih😢",2025-05-01T15:47:58Z
WznY5JDmgkY,@viadamacutaa1491,Njiirrr laahh! Bengekk bet😂😂😂😂😂,2025-05-01T15:34:19Z
